x,y,faa,height,inv_msk,inv_pad
-1802250.0,822750.0,4.883147986152516,1500,False,False
-1787250.0,822750.0,12.634184655377792,1500,False,False
-1782250.0,822750.0,14.324232019841537,1500,False,False
-2197250.0,817750.0,13.58760852134723,1500,False,False
-2192250.0,817750.0,11.191151495740316,1500,False,False
-2177250.0,817750.0,11.59631969508237,1500,False,False
-2172250.0,817750.0,11.316917644991785,1500,False,False
-2132250.0,817750.0,-12.029058316558704,1500,False,False
-2127250.0,817750.0,-11.233735460114648,1500,False,False
-2122250.0,817750.0,-11.523134435403414,1500,False,False
-2062250.0,817750.0,-13.465883824487612,1500,False,False
-2057250.0,817750.0,-4.309379298512791,1500,False,False
-2052250.0,817750.0,-1.7117804157033631,1500,False,False
-2047250.0,817750.0,-10.72372238450518,1500,False,False
-2032250.0,817750.0,-13.91810966731527,1500,False,False
-2027250.0,817750.0,-14.482605445518525,1500,False,False
-2022250.0,817750.0,-5.337523231939131,1500,False,False
-2017250.0,817750.0,8.205439378375894,1500,False,False
-2012250.0,817750.0,2.907812554587004,1500,False,False
-2007250.0,817750.0,-10.79352015111684,1500,False,True
-2002250.0,817750.0,-23.416267031984678,1500,False,True
-1997250.0,817750.0,-8.117731933669647,1500,False,True
-1992250.0,817750.0,16.064208372008462,1500,False,True
-1987250.0,817750.0,36.24276898880237,1500,False,False
-1977250.0,817750.0,34.37846475710131,1500,False,False
-1972250.0,817750.0,24.82606708603465,1500,False,False
-1967250.0,817750.0,4.597724967764579,1500,False,False
-1962250.0,817750.0,-5.975774956932877,1500,False,False
-1957250.0,817750.0,2.3237049373929284,1500,False,False
-1952250.0,817750.0,6.244613782532024,1500,False,False
-1947250.0,817750.0,-0.7477495991332612,1500,False,False
-1942250.0,817750.0,-6.10883744571218,1500,False,False
-1937250.0,817750.0,-4.926458426984101,1500,False,False
-1932250.0,817750.0,-1.0801263209844083,1500,False,False
-1927250.0,817750.0,25.012080824386487,1500,False,False
-1922250.0,817750.0,51.94917527085098,1500,False,False
-1917250.0,817750.0,45.86804294820583,1500,False,False
-1912250.0,817750.0,12.792662047394028,1500,False,False
-1907250.0,817750.0,-6.2973240471642695,1500,False,False
-1902250.0,817750.0,-7.062208937675688,1500,False,False
-1897250.0,817750.0,-4.662189681314964,1500,False,False
-1857250.0,817750.0,33.85659090452916,1500,False,False
-1852250.0,817750.0,38.9539533948575,1500,False,False
-1847250.0,817750.0,33.60772704944727,1500,False,False
-1842250.0,817750.0,22.7430113723721,1500,False,False
-1837250.0,817750.0,13.40930471838486,1500,False,False
-1832250.0,817750.0,2.6267543940560016,1500,False,False
-1827250.0,817750.0,-1.6126162504587056,1500,False,False
-1822250.0,817750.0,-1.4152508181925592,1500,False,False
-1817250.0,817750.0,-2.1588967627212985,1500,False,False
-1812250.0,817750.0,-0.648672788885913,1500,False,False
-1807250.0,817750.0,-0.1455348775634556,1500,False,False
