x,y,faa,height,msk,inv_msk,inv_pad
-1521500.0,-697500.0,27.00215634888739,1200,False,0.0,False
-1519500.0,-697500.0,21.177517918688864,1200,False,0.0,False
-1517500.0,-697500.0,20.348500775748,1200,False,0.0,False
-1515500.0,-697500.0,18.853711359886105,1200,False,0.0,False
-1511500.0,-697500.0,13.887906596811124,1200,False,0.0,False
-1509500.0,-697500.0,9.822404253512754,1200,False,0.0,False
-1507500.0,-697500.0,5.088882881588751,1200,False,0.0,False
-1505500.0,-697500.0,2.1668333648831926,1200,False,0.0,False
-1503500.0,-697500.0,-0.05890177066445429,1200,False,0.0,False
-1501500.0,-697500.0,-1.5816006498512782,1200,False,0.0,False
-1499500.0,-697500.0,-3.809385806096875,1200,False,0.0,False
-1497500.0,-697500.0,-7.012922282234231,1200,False,0.0,False
-1495500.0,-697500.0,-7.544004587961327,1200,False,0.0,False
-1493500.0,-697500.0,-0.4625845028235191,1200,False,0.0,False
-1491500.0,-697500.0,5.91430483291732,1200,False,0.0,False
-1489500.0,-697500.0,5.0971597124703045,1200,False,0.0,False
-1487500.0,-697500.0,2.151464935815841,1200,False,0.0,False
-1485500.0,-697500.0,-0.7428520030856138,1200,False,0.0,False
-1483500.0,-697500.0,-4.826993100596425,1200,False,0.0,False
-1481500.0,-697500.0,-4.476461050925324,1200,False,0.0,False
-1479500.0,-697500.0,2.7176973357093583,1200,False,0.0,False
-1477500.0,-697500.0,11.17049800839942,1200,False,0.0,False
-1475500.0,-697500.0,11.801977526373186,1200,False,0.0,False
-1473500.0,-697500.0,7.377312004718779,1200,False,0.0,False
-1601500.0,-695500.0,5.016994140490046,1200,False,0.0,True
-1599500.0,-695500.0,7.176235536417855,1200,False,0.0,True
-1597500.0,-695500.0,8.410312580823872,1200,True,1.0,True
-1595500.0,-695500.0,9.551074672693533,1200,False,0.0,True
-1593500.0,-695500.0,11.86018999652909,1200,False,0.0,True
-1591500.0,-695500.0,13.965908559381218,1200,False,0.0,True
-1585500.0,-695500.0,15.45126900931869,1200,False,0.0,True
-1583500.0,-695500.0,14.367441962657885,1200,False,0.0,True
-1581500.0,-695500.0,10.76188569192169,1200,False,0.0,True
-1579500.0,-695500.0,3.2007130705332267,1200,False,0.0,True
-1577500.0,-695500.0,-5.865728128142788,1200,True,1.0,True
-1575500.0,-695500.0,-10.361679425908632,1200,False,0.0,True
-1573500.0,-695500.0,-7.136975968350595,1200,False,0.0,True
-1571500.0,-695500.0,2.735415042421368,1200,False,0.0,True
-1569500.0,-695500.0,12.131904622721384,1200,False,0.0,True
-1567500.0,-695500.0,17.95348639032,1200,False,0.0,True
-1565500.0,-695500.0,19.80121704143596,1200,False,0.0,True
-1563500.0,-695500.0,18.718937453429604,1200,False,0.0,True
-1561500.0,-695500.0,19.05693680907914,1200,False,0.0,True
-1559500.0,-695500.0,20.71455981068687,1200,False,0.0,True
-1557500.0,-695500.0,26.283924644856217,1200,False,0.0,True
-1555500.0,-695500.0,34.60007106021755,1200,False,0.0,True
-1553500.0,-695500.0,38.677077513724626,1200,False,0.0,False
-1551500.0,-695500.0,39.95019665993259,1200,False,0.0,False
-1549500.0,-695500.0,38.56602178191028,1200,False,0.0,False
-1547500.0,-695500.0,36.11252503477045,1200,False,0.0,False
-1545500.0,-695500.0,35.82653871058153,1200,False,0.0,False
-1543500.0,-695500.0,35.233767187067755,1200,False,0.0,False
-1541500.0,-695500.0,32.428033655155666,1200,False,0.0,False
-1539500.0,-695500.0,29.503225053242478,1200,False,0.0,False
-1537500.0,-695500.0,27.714510458641453,1200,False,0.0,False
-1535500.0,-695500.0,27.657091971807574,1200,False,0.0,False
-1533500.0,-695500.0,28.049085503397745,1200,False,0.0,False
-1531500.0,-695500.0,27.17797533385714,1200,False,0.0,False
-1529500.0,-695500.0,25.531804607696966,1200,False,0.0,False
-1527500.0,-695500.0,24.959794370734265,1200,False,0.0,False
-1525500.0,-695500.0,26.520534178826328,1200,False,0.0,False
-1523500.0,-695500.0,26.576681506989857,1200,False,0.0,False
-1521500.0,-695500.0,20.883579540101792,1200,False,0.0,False
-1519500.0,-695500.0,18.468617787182144,1200,False,0.0,False
-1517500.0,-695500.0,23.91994391504584,1200,False,0.0,False
-1515500.0,-695500.0,24.614710483671548,1200,False,0.0,False
-1513500.0,-695500.0,22.568764263882898,1200,False,0.0,False
-1511500.0,-695500.0,20.021045807031655,1200,False,0.0,False
-1509500.0,-695500.0,15.518078095299003,1200,False,0.0,False
-1507500.0,-695500.0,9.901321969888576,1200,False,0.0,False
-1505500.0,-695500.0,5.355116889229761,1200,False,0.0,False
-1503500.0,-695500.0,1.7424623083377364,1200,False,0.0,False
-1501500.0,-695500.0,-1.2734394279894508,1200,False,0.0,False
-1499500.0,-695500.0,-4.836803500936283,1200,False,0.0,False
-1497500.0,-695500.0,-9.147732025298305,1200,False,0.0,False
-1495500.0,-695500.0,-10.359660154924459,1200,False,0.0,False
-1493500.0,-695500.0,-3.5249887089479066,1200,False,0.0,False
-1491500.0,-695500.0,2.862206993279331,1200,False,0.0,False
-1489500.0,-695500.0,-0.11984926890736494,1200,False,0.0,False
-1487500.0,-695500.0,-7.369577409850349,1200,False,0.0,False
-1485500.0,-695500.0,-12.60234320198521,1200,False,0.0,False
-1483500.0,-695500.0,-11.095891120910057,1200,False,0.0,False
-1481500.0,-695500.0,-4.544395049625248,1200,False,0.0,False
-1479500.0,-695500.0,9.692948839273795,1200,False,0.0,False
-1477500.0,-695500.0,26.529314055575302,1200,False,0.0,False
-1475500.0,-695500.0,23.82889047245875,1200,False,0.0,False
-1473500.0,-695500.0,12.90512151573476,1200,False,0.0,False
-1603500.0,-693500.0,1.2223034557883796,1200,False,0.0,True
-1601500.0,-693500.0,2.712038194280826,1200,False,0.0,True
-1599500.0,-693500.0,3.426393443863128,1200,True,1.0,True
