x,y,faa,height,inv_msk,bouguer,inv_pad
-1614250.0,166250.0,-5.128129285415005,4000,False,23.443155771596864,False
-1982250.0,162250.0,-12.504694282868202,4000,False,19.661902552235524,False
-1978250.0,162250.0,-12.57084607526767,4000,False,19.611584998922982,False
-1950250.0,162250.0,-11.64245476777025,4000,False,21.43946462067623,False
-1946250.0,162250.0,-11.325279055679921,4000,False,22.240279581299454,False
-1942250.0,162250.0,-11.008947036678016,4000,False,23.164727609167777,False
-1938250.0,162250.0,-10.943739730473702,4000,False,23.87117966046118,False
-1902250.0,162250.0,-17.839296820413402,4000,False,22.395470859856523,False
-1898250.0,162250.0,-19.03086616919479,4000,False,21.88944416985748,False
-1894250.0,162250.0,-18.671168277290445,4000,False,22.931844581902897,False
-1866250.0,162250.0,-20.577832623993725,4000,False,21.577142115061054,False
